"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFRT3MCX","QFRT_MCX","QREP3MCX","QREP_MCX"
"20141",2649915,7,0,"1",286,"D",.,"A"
"20141",2656445,4,0,"1",.,"A",300,"D"
"20141",2661575,3,0,"1",.,"A",600,"D"
"20141",2665415,1,0,"1",1548,"D",.,"A"
"20141",2667695,1,0,"1",.,"A",.,"A"
"20141",2668075,1,0,"1",.,"A",.,"A"
"20141",2677675,1,0,"1",464,"D",.,"A"
"20141",2679425,1,0,"1",.,"A",.,"A"
"20141",2684064,9,0,"1",.,"A",600,"D"
"20141",2687364,1,0,"1",.,"A",.,"A"
"20141",2688824,3,0,"1",.,"A",1000,"D"
"20141",2689734,8,0,"1",.,"A",30,"D"
"20141",2693014,13,0,"1",.,"A",30,"D"
"20141",2699634,1,0,"1",.,"A",.,"A"
"20141",2700534,13,0,"1",10,"D",.,"A"
"20141",2702024,8,0,"1",.,"A",200,"D"
"20141",2703034,24,0,"1",.,"A",35,"D"
"20141",2703104,4,0,"1",25,"D",.,"A"
"20141",2705914,9,0,"1",.,"A",130,"D"
"20141",2716583,4,0,"1",.,"B",.,"A"
"20141",2719483,13,0,"1",.,"A",50,"D"
"20141",2720923,13,0,"1",.,"A",.,"A"
"20141",2721263,4,0,"1",.,"A",0,"D"
"20141",2721383,18,0,"1",.,"A",15,"D"
"20141",2724793,9,0,"1",.,"A",60,"D"
"20141",2732153,16,0,"1",.,"A",7,"D"
"20141",2732323,2,0,"1",.,"A",175,"D"
"20141",2739783,21,0,"1",.,"A",35,"D"
"20141",2741005,1,0,"1",.,"A",.,"A"
"20141",2741803,8,0,"1",80,"D",.,"A"
"20141",2742653,23,0,"1",.,"A",100,"D"
"20141",2745343,11,0,"1",.,"A",120,"D"
"20141",2746393,13,0,"1",.,"A",250,"D"
"20141",2746443,3,0,"1",217,"D",.,"A"
"20141",2747852,10,0,"1",.,"A",0,"D"
"20141",2748682,23,0,"1",.,"A",0,"D"
"20141",2750072,15,0,"1",.,"A",1800,"D"
"20141",2753142,8,0,"1",0,"D",.,"A"
"20141",2753382,25,0,"1",.,"A",1800,"D"
"20141",2754365,8,0,"1",142,"D",.,"A"
"20141",2757332,10,0,"1",.,"A",50,"D"
"20141",2759623,23,0,"1",.,"A",100,"D"
"20141",2760872,4,0,"1",.,"A",.,"A"
"20141",2761342,1,0,"1",.,"A",.,"A"
"20141",2764212,9,0,"1",.,"A",0,"D"
"20141",2764452,15,0,"1",.,"A",17,"D"
"20141",2765632,3,0,"1",.,"A",500,"D"
"20141",2766633,19,0,"1",.,"A",500,"D"
"20141",2769452,12,0,"1",.,"A",0,"D"
"20141",2771102,6,0,"1",.,"A",.,"A"
"20141",2772762,5,0,"1",630,"D",.,"A"
"20141",2776252,6,0,"1",.,"A",0,"D"
"20141",2782685,22,0,"1",.,"A",45,"D"
"20141",2799152,2,0,"1",.,"A",30,"D"
"20141",2803585,5,0,"1",461,"F",.,"A"
"20142",2680775,19,0,"1",.,"A",500,"D"
"20142",2680905,16,0,"1",.,"A",0,"D"
"20142",2681555,9,0,"1",.,"A",0,"D"
"20142",2681835,1,0,"1",.,"A",.,"A"
"20142",2684495,17,0,"1",.,"A",0,"D"
"20142",2685235,8,0,"1",.,"A",82,"D"
"20142",2689055,14,0,"1",.,"A",10,"D"
"20142",2691345,1,0,"1",.,"A",.,"A"
"20142",2697585,5,0,"1",.,"A",0,"D"
"20142",2699515,1,0,"1",.,"A",.,"A"
"20142",2700795,5,0,"1",.,"A",30,"D"
"20142",2701845,7,0,"1",.,"A",221,"F"
"20142",2702825,9,0,"1",.,"A",2200,"D"
"20142",2702945,8,0,"1",.,"A",1200,"D"
"20142",2703705,9,0,"1",.,"A",42,"D"
"20142",2706045,12,0,"1",.,"A",45,"D"
"20142",2706285,19,0,"1",.,"A",400,"D"
"20142",2707375,7,0,"1",.,"A",1100,"D"
"20142",2711355,7,0,"1",.,"A",80,"D"
"20142",2716694,6,0,"1",.,"A",0,"D"
"20142",2717564,7,0,"1",.,"A",20,"D"
"20142",2723114,5,0,"1",164,"D",.,"A"
"20142",2725254,7,0,"1",990,"D",.,"A"
"20142",2726344,21,0,"1",.,"A",20,"D"
"20142",2727644,6,0,"1",.,"A",100,"D"
"20142",2737954,2,0,"1",.,"A",.,"A"
"20142",2739125,4,0,"1",102,"D",.,"A"
"20142",2739534,4,0,"1",0,"D",.,"A"
"20142",2739784,12,0,"1",.,"A",75,"D"
"20142",2740284,1,0,"1",.,"A",.,"A"
"20142",2742444,3,0,"1",.,"A",60,"D"
"20142",2747563,7,0,"1",.,"A",.,"A"
"20142",2747853,14,0,"1",.,"A",20,"D"
"20142",2749883,1,0,"1",.,"A",.,"A"
"20142",2753143,5,0,"1",0,"D",.,"A"
"20142",2755753,16,0,"1",.,"A",42,"D"
"20142",2758833,5,0,"1",.,"A",0,"D"
"20142",2760673,10,0,"1",300,"D",.,"A"
"20142",2761343,1,0,"1",.,"A",.,"A"
"20142",2765833,1,0,"1",.,"A",.,"A"
"20142",2770463,18,0,"1",.,"A",150,"D"
"20142",2770603,1,0,"1",0,"D",.,"A"
"20142",2781472,23,0,"1",.,"A",135,"D"
"20142",2782972,12,0,"1",40,"D",.,"A"
"20142",2785852,5,0,"1",.,"A",0,"D"
"20142",2786122,4,0,"1",.,"A",.,"A"
"20142",2786582,4,0,"1",.,"A",0,"D"
"20142",2791002,12,0,"1",360,"D",.,"A"
"20142",2791162,3,0,"1",.,"A",.,"A"
"20142",2791902,5,0,"1",800,"D",.,"A"
"20142",2794062,2,0,"1",.,"A",15,"D"
"20142",2794162,11,0,"1",.,"A",1700,"D"
"20142",2796262,7,0,"1",.,"A",0,"D"
"20142",2797402,11,0,"1",.,"A",0,"D"
"20142",2798632,4,0,"1",.,"A",300,"D"
"20142",2798642,5,0,"1",.,"A",60,"D"
"20142",2799582,3,0,"1",.,"A",8,"D"
"20142",2801782,2,0,"1",178,"D",.,"A"
"20142",2802152,12,0,"1",.,"A",10,"D"
"20142",2802204,12,0,"1",.,"A",18,"D"
"20142",2805552,9,0,"1",.,"A",220,"D"
"20142",2806152,13,0,"1",.,"A",800,"D"
"20142",2806192,13,0,"1",.,"A",0,"D"
"20142",2808172,9,0,"1",.,"A",300,"D"
"20142",2809002,3,0,"1",.,"A",10,"D"
"20142",2809312,20,0,"1",.,"A",25,"D"
"20142",2812412,6,0,"1",.,"A",150,"D"
"20142",2812962,6,0,"1",100,"D",.,"A"
"20142",2836715,8,0,"1",1640,"D",.,"A"
"20142",2870633,1,0,"1",2116,"D",.,"A"
"20143",2716025,3,0,"1",600,"D",.,"A"
"20143",2717975,8,0,"1",.,"A",900,"D"
"20143",2719875,31,0,"1",.,"A",0,"D"
"20143",2723115,4,0,"1",328,"D",.,"A"
"20143",2724835,1,0,"1",.,"A",.,"A"
"20143",2727235,2,0,"1",0,"D",.,"A"
"20143",2730725,2,0,"1",.,"A",100,"D"
"20143",2730815,2,0,"1",.,"A",50,"D"
"20143",2733475,12,0,"1",.,"A",600,"D"
"20143",2737555,2,0,"1",.,"A",.,"A"
"20143",2739535,10,0,"1",325,"F",.,"A"
"20143",2741225,13,0,"1",.,"A",55,"D"
"20143",2747854,7,0,"1",.,"A",100,"D"
"20143",2748144,16,0,"1",.,"A",200,"D"
"20143",2748644,11,0,"1",.,"A",70,"D"
"20143",2750124,25,0,"1",100,"D",.,"A"
"20143",2753144,4,0,"1",0,"D",.,"A"
"20143",2762054,8,0,"1",.,"A",100,"D"
"20143",2762194,27,0,"1",852,"D",180,"D"
"20143",2764944,18,0,"1",.,"A",0,"D"
"20143",2766635,17,0,"1",.,"A",125,"D"
"20143",2768454,8,0,"1",.,"A",200,"D"
"20143",2770434,21,0,"1",.,"A",0,"D"
"20143",2770954,5,0,"1",.,"A",20,"D"
"20143",2780464,12,0,"1",.,"A",1050,"D"
"20143",2782523,3,0,"1",.,"A",0,"D"
"20143",2782893,20,0,"1",.,"A",144,"D"
"20143",2788213,27,0,"1",.,"A",0,"D"
"20143",2790413,10,0,"1",.,"A",80,"D"
"20143",2790723,2,0,"1",.,"A",.,"A"
"20143",2795763,2,0,"1",206,"F",.,"A"
"20143",2796263,8,0,"1",.,"A",500,"D"
"20143",2802303,1,0,"1",.,"A",.,"A"
"20143",2804503,12,0,"1",.,"A",1576,"D"
"20143",2805303,65,0,"1",.,"A",200,"D"
"20143",2808173,7,0,"1",.,"A",1000,"D"
"20143",2808743,16,0,"1",.,"A",16,"D"
"20143",2809113,12,0,"1",.,"A",20,"D"
"20143",2809443,2,0,"1",.,"A",.,"A"
"20143",2812533,16,0,"1",.,"A",120,"D"
"20143",2816322,20,0,"1",.,"A",110,"D"
"20143",2816372,15,0,"1",.,"A",68,"D"
"20143",2817582,7,0,"1",.,"A",200,"D"
"20143",2818142,29,0,"1",.,"A",100,"D"
"20143",2818562,27,0,"1",.,"A",1600,"D"
"20143",2819582,4,0,"1",.,"A",10,"D"
"20143",2819742,8,0,"1",.,"A",50,"D"
"20143",2821722,3,0,"1",0,"D",.,"A"
"20143",2824722,3,0,"1",.,"A",.,"A"
"20143",2838522,4,0,"1",.,"A",0,"D"
"20143",2838622,4,0,"1",0,"D",.,"A"
"20143",2840482,1,0,"1",129,"D",.,"A"
"20143",2845132,21,0,"1",1300,"D",.,"A"
"20143",2845562,2,0,"1",0,"D",.,"A"
"20143",2867332,9,0,"1",150,"D",.,"A"
"20143",2868062,2,0,"1",.,"A",0,"D"
"20143",2868102,5,0,"1",.,"A",80,"D"
"20143",2870634,4,0,"1",614,"F",.,"A"
"20143",2870812,1,0,"1",200,"D",.,"A"
"20143",2876622,10,0,"1",.,"A",220,"D"
"20143",2877062,23,0,"1",.,"A",1,"D"
"20143",2877292,4,0,"1",.,"A",100,"D"
"20143",2878752,14,0,"1",.,"A",10,"D"
"20143",2905843,8,0,"1",3120,"D",.,"A"
"20143",2924293,1,0,"1",60,"D",.,"A"
"20143",2929884,11,0,"1",500,"D",.,"A"
"20143",2933555,5,0,"1",0,"D",.,"A"
"20143",2946075,6,0,"1",900,"D",.,"A"
"20144",2749735,23,0,"1",.,"A",10,"D"
"20144",2750075,14,0,"1",.,"A",500,"D"
"20144",2758115,22,0,"1",.,"A",190,"D"
"20144",2758935,2,0,"1",.,"A",.,"A"
"20144",2762195,14,0,"1",.,"A",35,"D"
"20144",2763065,2,0,"1",60,"D",.,"A"
"20144",2767685,19,0,"1",.,"A",50,"D"
"20144",2768605,8,0,"1",.,"A",200,"D"
"20144",2771555,1,0,"1",.,"A",.,"A"
"20144",2772705,8,0,"1",.,"A",1400,"D"
"20144",2774585,15,0,"1",65,"D",.,"A"
"20144",2775305,15,0,"1",.,"A",0,"D"
"20144",2778555,11,0,"1",.,"A",80,"D"
"20144",2779945,21,0,"1",.,"A",1000,"D"
"20144",2782734,11,0,"1",.,"A",40,"D"
"20144",2783264,3,0,"1",.,"A",30,"D"
"20144",2784724,1,0,"1",.,"A",.,"A"
"20144",2785564,12,0,"1",.,"A",75,"D"
"20144",2787214,25,0,"1",.,"A",8,"D"
"20144",2788214,14,0,"1",.,"A",600,"D"
"20144",2788414,15,0,"1",1653,"D",.,"A"
"20144",2789854,13,0,"1",.,"A",50,"D"
"20144",2790154,13,0,"1",.,"A",300,"D"
"20144",2792644,13,0,"1",.,"A",314,"D"
"20144",2796924,18,0,"1",.,"A",49,"D"
"20144",2797184,14,0,"1",.,"A",140,"D"
"20144",2800424,10,0,"1",.,"A",100,"D"
"20144",2801774,3,0,"1",.,"A",80,"D"
"20144",2801844,11,0,"1",.,"A",20,"D"
"20144",2801904,3,0,"1",.,"A",75,"D"
"20144",2808524,5,0,"1",0,"D",.,"A"
"20144",2811504,1,0,"1",.,"A",.,"A"
"20144",2812964,3,0,"1",180,"D",.,"A"
"20144",2813464,29,0,"1",.,"A",0,"D"
"20144",2816323,28,0,"1",.,"A",200,"D"
"20144",2817643,7,0,"1",.,"A",1080,"D"
"20144",2822733,22,0,"1",.,"A",0,"D"
"20144",2823463,22,0,"1",.,"A",160,"D"
"20144",2823823,33,0,"1",.,"A",23,"D"
"20144",2825183,7,0,"1",.,"A",120,"D"
"20144",2837763,23,0,"1",.,"A",1,"D"
"20144",2838623,21,0,"1",480,"D",.,"A"
"20144",2839813,13,0,"1",300,"D",.,"A"
"20144",2842423,27,0,"1",.,"A",10,"D"
"20144",2873473,1,0,"1",.,"A",.,"A"
"20144",2874523,25,0,"1",.,"A",0,"D"
"20144",2876163,10,0,"1",.,"A",1000,"D"
"20144",2877913,6,0,"1",.,"A",5,"D"
"20144",2903172,1,0,"1",.,"A",.,"A"
"20144",2904812,11,0,"1",.,"A",180,"D"
"20144",2906563,10,0,"1",.,"A",20,"D"
"20144",2908852,26,0,"1",.,"A",.,"A"
"20144",2909642,9,0,"1",.,"A",355,"D"
"20144",2911672,11,0,"1",100,"D",.,"A"
"20144",2924294,1,0,"1",200,"D",.,"A"
"20144",2924832,26,0,"1",.,"A",0,"D"
"20144",2925812,22,0,"1",.,"A",110,"D"
"20144",2925892,2,0,"1",.,"A",.,"A"
"20144",2928332,6,0,"1",.,"A",65,"D"
"20144",2930252,13,0,"1",300,"D",.,"A"
"20144",2932082,6,0,"1",.,"A",50,"D"
"20144",2932412,56,0,"1",.,"A",100,"D"
"20144",2944695,5,0,"1",330,"D",.,"A"
"20144",2945172,5,0,"1",.,"A",50,"D"
"20144",2948802,27,0,"1",.,"A",465,"D"
"20144",2949062,3,0,"1",150,"D",.,"A"
"20144",2949135,16,0,"1",.,"A",100,"D"
"20144",2951022,2,0,"1",450,"D",.,"A"
"20144",2953152,1,0,"1",300,"D",.,"A"
"20144",2968654,36,0,"1",.,"A",0,"D"
"20144",2969565,28,0,"1",.,"A",40,"D"
"20144",2970414,12,0,"1",.,"A",80,"D"
"20144",3007863,6,0,"1",0,"D",.,"A"
"20144",3009005,2,0,"1",0,"D",.,"A"
"20151",2782435,4,0,"1",.,"A",45,"D"
"20151",2782975,12,0,"1",400,"D",.,"A"
"20151",2785545,1,0,"1",.,"A",.,"A"
"20151",2788215,9,0,"1",.,"A",250,"D"
"20151",2792815,29,0,"1",.,"A",6,"D"
"20151",2793265,7,0,"1",.,"A",300,"D"
"20151",2798695,6,0,"1",.,"A",300,"D"
"20151",2801905,6,0,"1",.,"A",95,"D"
"20151",2804575,9,0,"1",.,"A",260,"D"
"20151",2812725,17,0,"1",.,"A",0,"D"
"20151",2813465,17,0,"1",.,"A",300,"D"
"20151",2813745,12,0,"1",306,"D",.,"A"
"20151",2813975,6,0,"1",.,"A",0,"D"
"20151",2821994,7,0,"1",.,"A",257,"D"
"20151",2823444,4,0,"1",.,"A",800,"D"
"20151",2825144,4,0,"1",.,"A",50,"D"
"20151",2838384,10,0,"1",111,"D",.,"A"
"20151",2841934,4,0,"1",0,"D",.,"A"
"20151",2843944,26,0,"1",.,"A",10,"D"
"20151",2868274,6,0,"1",.,"A",0,"D"
"20151",2901035,10,0,"1",.,"A",1700,"D"
"20151",2901163,34,0,"1",.,"A",45,"D"
"20151",2902183,11,0,"1",.,"A",75,"D"
"20151",2903573,10,0,"1",564,"D",.,"A"
"20151",2906413,7,0,"1",220,"D",.,"A"
"20151",2908743,3,0,"1",0,"D",.,"A"
"20151",2908813,1,0,"1",0,"D",.,"A"
"20151",2910273,7,0,"1",.,"A",400,"D"
"20151",2911673,9,0,"1",.,"A",194,"D"
"20151",2925013,2,0,"1",.,"A",389,"D"
"20151",2925613,4,0,"1",.,"A",250,"D"
"20151",2926743,5,0,"1",.,"A",40,"D"
"20151",2931863,5,0,"1",.,"A",50,"D"
"20151",2932543,33,0,"1",.,"A",30,"D"
"20151",2933733,10,0,"1",.,"A",300,"D"
"20151",2945863,3,0,"1",.,"A",291,"D"
"20151",2949923,17,0,"1",.,"A",90,"D"
"20151",2950603,29,0,"1",.,"A",30,"D"
"20151",2967012,20,0,"1",.,"A",400,"D"
"20151",2967232,5,0,"1",.,"A",0,"D"
"20151",2968172,12,0,"1",.,"A",450,"D"
"20151",2968655,33,0,"1",.,"A",50,"D"
"20151",2972582,17,0,"1",.,"A",5,"D"
"20151",2973802,8,0,"1",174,"D",.,"A"
"20151",2974572,4,0,"1",175,"D",.,"A"
"20151",2990752,1,0,"1",.,"A",.,"A"
"20151",2991422,10,0,"1",117,"D",.,"A"
"20151",2991892,6,0,"1",0,"D",.,"A"
"20151",2992612,8,0,"1",1200,"D",.,"A"
"20151",2998682,5,0,"1",.,"A",0,"D"
"20151",3001032,17,0,"1",.,"A",800,"D"
"20151",3003282,10,0,"1",120,"D",.,"A"
"20151",3005292,10,0,"1",.,"A",250,"D"
"20151",3005832,8,0,"1",.,"A",30,"D"
"20151",3007955,1,0,"1",215,"D",.,"A"
"20151",3009932,6,0,"1",2800,"D",.,"A"
"20151",3010012,11,0,"1",125,"D",.,"A"
"20151",3010232,4,0,"1",.,"A",100,"D"
"20151",3045724,2,0,"1",260,"D",.,"A"
"20151",3046965,21,0,"1",200,"D",.,"A"
"20151",3047004,10,0,"1",0,"D",.,"A"
